PeriodeAttente,Delais_d'attente,Region,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico_faciale,Urologie,Autres,Total
1920-P12,0 à 6 mois,RSS01,489,560,33,0,0,178,705,73,144,301,2483
1920-P12,6 à 12 mois,RSS01,18,6,0,0,0,0,5,4,1,12,46
1920-P12,0 à 6 mois,RSS02,650,1072,219,65,141,237,911,284,317,134,4030
1920-P12,6 à 12 mois,RSS02,123,135,141,14,34,17,62,23,58,7,614
1920-P12,Plus d'1 an,RSS02,14,7,7,1,1,4,0,,5,0,39
1920-P12,0 à 6 mois,RSS03,1564,1936,184,105,202,614,1989,1038,528,528,8688
1920-P12,6 à 12 mois,RSS03,154,423,11,3,11,59,98,78,19,25,881
1920-P12,Plus d'1 an,RSS03,19,44,0,0,1,0,1,,,0,65
1920-P12,0 à 6 mois,RSS04,892,1069,189,111,152,442,684,313,437,258,4547
1920-P12,6 à 12 mois,RSS04,29,71,42,6,15,5,39,6,42,2,257
1920-P12,Plus d'1 an,RSS04,0,0,0,0,0,0,5,,5,0,10
1920-P12,0 à 6 mois,RSS05,975,1311,341,46,157,487,1968,697,365,210,6557
1920-P12,6 à 12 mois,RSS05,169,182,89,6,7,38,185,181,96,41,994
1920-P12,Plus d'1 an,RSS05,30,39,30,1,1,0,39,43,37,6,226
1920-P12,0 à 6 mois,RSS06,5758,5364,2955,261,477,2337,8385,3240,2138,1754,32669
1920-P12,6 à 12 mois,RSS06,1025,1162,944,29,129,269,807,905,645,161,6076
1920-P12,Plus d'1 an,RSS06,368,60,349,0,12,15,74,287,158,21,1344
1920-P12,0 à 6 mois,RSS07,746,681,246,45,91,189,787,400,114,193,3492
1920-P12,6 à 12 mois,RSS07,132,460,69,3,85,34,121,52,16,37,1009
1920-P12,Plus d'1 an,RSS07,20,83,3,0,60,3,27,2,95,6,299
1920-P12,0 à 6 mois,RSS08,376,596,6,0,0,177,184,73,118,159,1689
1920-P12,6 à 12 mois,RSS08,51,270,0,0,0,9,2,2,29,18,381
1920-P12,Plus d'1 an,RSS08,12,17,0,0,0,0,0,,,2,31
1920-P12,0 à 6 mois,RSS09,137,200,0,0,0,58,201,105,23,104,828
1920-P12,6 à 12 mois,RSS09,17,13,0,0,0,5,2,11,,10,58
1920-P12,Plus d'1 an,RSS09,0,0,0,0,0,0,0,,,4,4
1920-P12,0 à 6 mois,RSS10,65,0,0,0,0,23,0,9,,0,97
1920-P12,6 à 12 mois,RSS10,1,0,0,0,0,7,0,,,0,8
1920-P12,Plus d'1 an,RSS10,0,0,0,0,0,1,0,1,,0,2
1920-P12,0 à 6 mois,RSS11,163,224,9,0,0,56,131,98,10,55,746
1920-P12,6 à 12 mois,RSS11,11,28,0,0,0,3,5,7,,7,61
1920-P12,Plus d'1 an,RSS11,3,2,0,0,0,0,0,2,,2,9
