annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2020-2021,10,99,Total provincial,Total provincial,Total provincial,,2071654,321613,139561,8.0291570272,1786542,1.8477936341,1329540,105611,55269,3.7678062135,1049960,2.1833933264,742114,147558,35935,15.663612597,736582,1.3694134228,216002,84292
2021-2022,10,99,Total provincial,Total provincial,Total provincial,,2590367,381949,158058,8.4446627806,2115744,2.5048783413,1753292,137675,66250,4.5627308488,1286031,2.9750302801,837075,181461,47701,16.57554735,829713,1.7761565207,244274,91808
2022-2023,10,99,Total provincial,Total provincial,Total provincial,,2788583,409982,156173,9.0242922151,2207500,2.8505173113,1926500,149760,63861,4.963070343,1354533,3.3930415038,862083,209181,64216,18.09991943,852967,1.9889752798,260222,92312
2023-2024,10,99,Total provincial,Total provincial,Total provincial,,2722052,438674,158321,8.982975069,2199084,2.8283534845,1831942,164924,63000,4.9407537238,1318472,3.3452438201,890110,205945,55260,17.302300833,880612,2.0544537028,273750,95321
2024-2025,10,99,Total provincial,Total provincial,Total provincial,,2935029,479061,169392,8.9103884132,2355447,3.015403502,1977880,181285,66808,5.0882684898,1409169,3.5806794732,957149,212360,51717,16.808526064,946278,2.17361137,297776,102584
2020-2021,10,08,Abitibi-Témiscamingue,Total régional,Total régional,,68497,8034,4318,5.1218858328,58995,2.0000127224,55169,4383,3231,3.7552498585,45713,2.2081815652,13328,1289,159,10.778844121,13282,1.2835526778,3651,1087
2020-2021,10,01,Bas-Saint-Laurent,Total régional,Total régional,,77969,13566,3567,3.9011363419,68511,1.2921543499,56016,6060,2140,2.5232223432,46782,1.426781211,21953,281,0,7.4170672194,21729,1.0023060452,7506,1427
2020-2021,10,03,Capitale-Nationale,Total régional,Total régional,,226891,37011,14529,7.3565761068,196658,1.4433796306,143214,12490,4728,3.1953400932,113248,1.7712703928,83677,14342,3180,14.478572049,83410,0.9981935253,24521,9801
2020-2021,10,12,Chaudière-Appalaches,Total régional,Total régional,,112203,18966,5790,5.5906055839,97902,0.8938046692,77110,6803,2639,2.3980835747,62840,1.061569524,35093,4290,336,12.605547941,35062,0.5931274837,12163,3151
2020-2021,10,09,Côte-Nord,Total régional,Total régional,,58803,6740,3298,5.9502825205,47708,1.8788155376,45606,3531,2000,3.1240316272,35301,1.9334371705,13197,2280,1088,15.717199111,12407,1.7234034103,3209,1298
2020-2021,10,05,Estrie,Total régional,Total régional,,141788,21797,8722,7.4100887083,123771,2.0713325617,87473,6721,2959,3.9580519036,69716,2.5848538595,54315,8062,1494,12.969510883,54055,1.4090321124,15076,5763
2020-2021,10,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,55040,8905,2284,4.5692683251,49475,1.2143842064,42676,4856,1516,2.5587215427,37373,1.2986618162,12364,1424,384,11.508939506,12102,0.9541208524,4049,768
2020-2021,10,14,Lanaudière,Total régional,Total régional,,86834,13747,6036,9.3026577435,70995,2.4061374666,52972,3699,2946,4.7828007721,37380,3.0350236015,33862,7946,1040,16.373293367,33615,1.7068138397,10048,3090
2020-2021,10,15,Laurentides,Total régional,Total régional,,116055,17631,8770,10.544531563,96892,2.7032869615,72241,5642,3136,5.0054306419,53338,3.3685096825,43814,11836,3620,19.677461441,43554,1.8886281589,11989,5634
2020-2021,10,13,Laval,Total régional,Total régional,,55188,9619,3962,8.4389321602,44570,2.1566241057,34831,2618,1157,4.2474595746,24261,2.7222299049,20357,3887,294,15.610577374,20309,1.4809550774,7001,2805
2020-2021,10,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,144684,24148,8834,6.1474011466,121804,1.8986657982,90947,7208,3018,3.2621679537,68549,2.3077664842,53737,4957,322,11.030504096,53255,1.3720778174,16940,5816
2020-2021,10,06,Montréal,Total régional,Total régional,,494111,71893,41294,10.180751625,449409,1.8070991149,289584,17750,14479,4.535652857,246440,2.2460555916,204527,53079,14413,18.173487457,202969,1.2741288872,54143,26815
2020-2021,10,16,Montérégie,Total régional,Total régional,,235507,40637,16754,9.9457085352,193206,2.1790340348,148986,12521,6840,4.1467439633,106939,2.6074285782,86521,25476,7438,19.931313599,86267,1.6479841075,28116,9914
2020-2021,10,07,Outaouais,Total régional,Total régional,,93919,12727,5980,7.7473214182,74170,2.2603798294,65535,5306,2578,3.6788234404,46214,2.2596736318,28384,6247,2019,17.140959206,27956,2.2615472429,7421,3402
2020-2021,10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104165,16192,5423,5.2142704977,92476,1.6899630805,67180,6023,1902,2.8070477986,55866,1.9036718716,36985,2162,148,9.5867788368,36610,1.3638484855,10169,3521
2021-2022,10,08,Abitibi-Témiscamingue,Total régional,Total régional,,83532,9048,4929,5.7681191207,68253,2.7095492302,68704,5046,3679,4.4212410566,53541,2.9993433122,14828,1858,270,12.008738929,14712,1.6549091445,4002,1250
2021-2022,10,01,Bas-Saint-Laurent,Total régional,Total régional,,100160,15745,4231,4.1017010339,87254,1.7591367572,75496,7747,2647,3.0132551504,62907,1.9496926592,24664,406,6,7.4334116413,24347,1.2667845114,7998,1584
2021-2022,10,03,Capitale-Nationale,Total régional,Total régional,,279914,43092,15743,7.0524912017,232977,1.7989200329,186506,16351,5383,3.6386279292,139898,2.2523358586,93408,14919,2815,13.868887908,93079,1.1174347657,26741,10360
2021-2022,10,12,Chaudière-Appalaches,Total régional,Total régional,,156037,24103,7294,5.7630260024,135230,1.3642365723,114661,9856,3545,2.9490926635,93893,1.6127237358,41376,6476,643,13.560986428,41337,0.7998219983,14247,3749
2021-2022,10,09,Côte-Nord,Total régional,Total régional,,74378,8232,4188,6.7863776438,59732,2.434119958,58410,4448,2603,3.9168611349,44189,2.5251515586,15968,3035,1483,17.282899393,15543,2.1753156476,3784,1585
2021-2022,10,05,Estrie,Total régional,Total régional,,172904,25679,9552,8.0474830076,144132,2.8673927892,110691,8426,3490,4.826894345,82282,3.6665943037,62213,10441,2038,13.777638757,61850,1.8041769604,17253,6062
2021-2022,10,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,71843,11146,2900,4.8930409442,63456,1.644309933,57607,6617,1964,3.0493398565,49476,1.7565956221,14236,1937,461,12.353710273,13980,1.2469246145,4529,936
2021-2022,10,14,Lanaudière,Total régional,Total régional,,107879,17230,6869,9.9586079234,81061,3.3818738495,70906,5275,3685,5.8746073988,44287,4.3340616823,36973,10718,1302,17.790813619,36774,2.2351521833,11955,3184
2021-2022,10,15,Laurentides,Total régional,Total régional,,139566,21817,9496,12.176760057,106664,3.6477130652,92042,7672,3519,6.1900899378,59489,4.5412885482,47524,17128,6329,23.771429932,47175,2.5208892834,14145,5977
2021-2022,10,13,Laval,Total régional,Total régional,,68609,11118,4352,8.4179448032,52927,2.819525363,45341,3309,1285,4.8783485942,29726,3.5863187763,23268,4106,291,15.315350326,23201,1.8370805976,7809,3067
2021-2022,10,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,183517,29155,9918,6.9043878163,144565,2.9018505036,121632,9478,3499,4.3990518417,83650,3.5650907551,61885,7371,346,11.828505539,60915,1.9910724188,19677,6419
2021-2022,10,06,Montréal,Total régional,Total régional,,635143,86130,47260,10.3433216,540179,2.5058857198,397756,23432,17705,5.4795995277,305170,3.1601770525,237387,61774,17712,18.492776443,235009,1.6562583182,62698,29555
2021-2022,10,16,Montérégie,Total régional,Total régional,,282358,46940,18084,10.816934478,206617,3.1986384591,188244,16127,7792,5.2414807378,112979,3.8375799952,94114,30009,10511,21.968789822,93638,2.4277230635,30813,10292
2021-2022,10,07,Outaouais,Total régional,Total régional,,106256,13725,6799,8.108272576,82508,2.3268744849,77942,6327,3061,3.8671283027,54637,2.3401214633,28314,7271,3050,19.783177815,27871,2.3009057304,7398,3738
